1,6421.4953264,13,329516,65.535,106,Windows,1.31578947368,2,0,1,0,1,1,6.127125,0.304510,1.946314,0.016047,14100.0,1358.04251559,1
2,2671.6759996,8,724116,5.84,50,Linux,1.08333333333,0,0,0,0,1,1,6.421742,0.089443,3.661917,4.633763,2473.0,285.669267763,1
3,2671.6759996,8,724116,5.84,50,Linux,1.125,0,0,0,0,1,1,6.307288,0.089243,2.617593,3.107038,7678.0,876.888227701,1
4,5486.57376675,12,365975,5.84,47,Linux,0.916666666667,0,0,2,0,1,1,40.121752,0.150067,144.860598,345.508303,2362.0,56.0855945005,1
5,6418.84578287,14,1358523,65.535,109,Windows,0.684210526316,0,0,0,0,1,1,48.185194,0.246214,250.122639,336.725640,2568.0,12.2891930817,1
6,5657.68185431,12,154538,5.84,47,Linux,0.4,0,1,2,1,1,2,4.621279,0.158444,0.433872,0.000000,57493.0,8167.63563193,1
7,8437.51674356,16,1926475,5.84,45,Linux,1.375,0,0,0,0,1,1,1.678962,0.269519,0.333454,0.000015,2626.0,848.011258593,0
8,2670.02114156,8,7,65.535,50,UNKNOWN,1.22222222222,0,0,2,0,1,1,5.261889,0.080245,3.342241,0.000000,1973.0,331.508329294,1
9,8437.51674356,16,1926475,5.84,45,Linux,0.9,0,0,2,0,1,1,3.771470,0.254160,1.458644,0.000067,2676.0,520.77940983,0
10,0.995006321368,4,811071,49.64,53,Solaris,0.909090909091,0,0,2,0,1,1,0.077500,0.005078,0.000558,0.000000,2807.0,22790.9355894,0
11,660.380414537,5,54739,5.84,50,Linux,1.0,0,0,0,0,1,1,0.119428,0.021789,0.001030,0.000002,5974.0,16400.6885324,1
12,2671.6759996,8,724116,5.84,50,Linux,1.15384615385,0,0,0,0,1,1,2.082477,0.089458,0.380262,0.110911,2791.0,701.921343061,1
13,2670.02114156,8,10,65.535,50,UNKNOWN,1.0,0,0,2,0,1,1,5.084373,0.080080,2.806067,0.000000,2918.0,523.205640437,1
14,6083.33813863,19,465,64.8,111,Windows,1.07692307692,0,0,0,0,1,1,4.266057,0.353405,1.355610,0.975217,2342.0,312.447594654,1
15,5196.7863383,20,124364,65.535,108,Windows,1.07142857143,0,0,0,0,1,1,5.684659,0.392067,2.295694,0.046760,5849.0,649.878057588,1
16,6150.98492489,14,18404,65.535,112,Windows,1.07692307692,0,0,1,0,0,1,1.730868,0.555284,0.222173,0.041168,5749.0,1109.56731121,1
17,6083.33813863,19,465,64.8,111,Windows,1.07142857143,0,0,0,0,1,1,0.487551,0.350676,0.024793,0.002292,2382.0,701.009459508,1
18,6382.06695434,12,480632,65.535,112,Windows,0.923076923077,0,0,2,0,0,1,5.241375,0.234789,2.153054,0.009460,5754.0,803.066446561,1
19,30.4464882441,4,741696,5.84,70,UNKNOWN,1.08333333333,0,0,2,0,1,1,0.196125,0.005571,0.003641,0.000000,5044.0,14240.0998275,0
20,1380.9213833,6,2627979,65.535,50,UNKNOWN,0.714285714286,0,0,0,0,1,1,0.313172,0.078350,0.008011,0.000135,4343.0,5112.68388239,0
21,5486.57376675,12,365975,5.84,47,Linux,0.916666666667,0,0,2,0,1,1,6.061348,0.150719,3.239188,7.955944,2360.0,342.27631735,1
22,6934.89874642,19,1617371,65.535,111,Windows,0.941176470588,0,0,0,0,1,1,0.825755,0.185296,0.042795,0.000000,1872.0,876.034148485,1
23,6083.33813863,19,465,64.8,111,Windows,1.07692307692,0,0,0,0,1,1,2.716152,0.357480,0.583217,0.623254,2326.0,352.891824091,1
24,5654.95089351,20,2700274,65.535,112,Windows,1.25,0,0,1,0,0,0,5.402591,0.329788,3.764559,0.000114,2151.0,303.622080143,1
25,2456.14012845,7,738797,5.84,48,Linux,0.727272727273,0,0,0,0,1,1,0.159771,0.083548,0.002578,0.000165,13046.0,13743.365871,1
26,0.995006321368,4,2893135,65.535,54,UNKNOWN,0.708333333333,0,1,0,0,1,2,4.632016,0.004627,0.928631,0.966788,12288.0,45396.7784838,1
27,5196.11020432,12,1298671,8.192,112,Windows,1.35714285714,0,0,1,0,1,1,5.706740,0.217243,2.334747,0.018465,6426.0,767.84798474,1
28,2670.02114156,8,6,65.535,50,UNKNOWN,1.125,0,0,2,0,1,1,5.318387,0.080113,3.922254,0.000000,1326.0,228.728468087,1
29,5880.4123332,13,17029,65.535,107,Windows,1.0,1,2,1,0,0,1,5.357474,0.282738,2.448703,0.374680,5790.0,470.247505313,1
30,8492.44646056,18,2618916,5.84,52,UNKNOWN,0.923076923077,0,0,0,0,1,1,1.776501,0.193980,0.288335,0.000001,4141.0,1029.54682536,0
31,2670.02114156,8,12,65.535,48,UNKNOWN,0.875,1,0,6,4,1,1,30.355253,0.081258,60.123961,4.394329,1047691531.0,28826928.2666,1
32,8493.62704948,18,2106880,65.535,50,Windows,1.07692307692,0,0,1,0,0,1,5.208837,0.216050,2.143831,0.010024,5829.0,849.674021957,1
33,5598.74209921,12,1365010,8.576,113,Windows,1.27777777778,0,2,1,0,1,1,1.446800,0.265247,0.268488,0.061423,13080.0,1681.13215768,1
34,8745.76570828,17,26996,65.535,112,Windows,1.3125,0,0,1,0,0,1,5.526923,0.268529,1.868495,0.008915,6048.0,669.438801527,1
35,6217.09476595,13,139010,30.492,109,Windows,1.0,0,0,0,0,1,1,5.608292,0.207085,3.241802,0.001025,2268.0,319.625468851,1
36,2167.38984503,7,5097945,49.64,48,Solaris,1.1,0,0,0,0,1,1,5.100188,0.094696,1.349065,0.001074,13609.0,2178.59517831,1
37,7719.35499623,17,9786,65.535,113,Windows,1.38461538462,1,0,1,0,0,1,2.333358,0.307364,0.416989,0.013432,5758.0,938.222649783,1
38,5939.21155228,19,1914945,16.384,110,Windows,1.0,0,0,1,0,0,0,0.529699,0.380878,0.027197,0.000486,2091.0,824.540469519,1
39,1582.02717575,6,1633340,65.535,113,Windows,1.08333333333,0,0,0,0,1,1,0.473055,0.059760,0.016879,0.000000,2200.0,2238.07184007,1
40,6927.67275981,19,1095422,65.535,109,Windows,1.08333333333,0,0,0,0,1,1,1.293870,0.260867,0.179628,0.000020,3036.0,770.216469897,0
41,5643.91444686,20,2130659,64.24,48,Windows,1.125,0,0,1,0,0,0,0.715414,0.319131,0.074466,0.025403,1839.0,796.614626087,1
42,4.24406065236,4,19818,49.64,59,Solaris,0.823529411765,0,0,0,0,1,1,0.780662,0.000983,0.037802,0.000001,9115.0,10978.4489975,1
43,5751.91281117,13,1399693,5.84,46,Linux,0.764705882353,0,0,0,0,1,1,59.880732,0.183288,223.318181,256.297617,2749.0,44.7145833499,0
44,5751.91281117,13,1399693,5.84,46,Linux,0.714285714286,0,0,0,0,1,1,60.051428,0.182715,179.768504,200.494760,9242.0,149.570927102,1
45,5751.91281117,13,1399693,5.84,46,Linux,0.714285714286,0,0,0,0,1,1,59.909891,0.182387,178.891978,199.577329,9751.0,157.941621725,1
46,5751.91281117,13,1399693,5.84,46,Linux,0.866666666667,0,0,0,0,1,1,60.031130,0.182677,256.431273,300.589075,2552.0,41.4767484225,0
47,5751.91281117,13,1399693,5.84,46,Linux,0.8125,0,0,0,0,1,1,59.981527,0.182718,239.005723,277.025811,3960.0,64.4114232163,1
48,5751.91281117,13,1399693,5.84,46,Linux,0.75,0,0,0,0,1,1,59.997097,0.182679,188.835421,211.520515,9327.0,150.950915511,1
49,5751.91281117,13,1399693,5.84,46,Linux,0.75,0,0,0,0,1,1,59.997920,0.183010,188.846537,211.532520,9817.0,158.921701122,0
50,5751.91281117,13,1399693,5.84,46,Linux,0.8125,0,0,0,0,1,1,59.981014,0.182709,238.946547,276.376378,2650.0,43.0375185496,0
51,5751.91281117,13,1399693,5.84,46,Linux,0.75,0,0,0,0,1,1,59.995806,0.183128,188.834304,211.524810,9809.0,158.80532803,0
52,5751.91281117,13,1399693,5.84,46,Linux,0.8125,0,0,0,0,1,1,59.980991,0.182734,238.969296,276.707551,2997.0,48.7045183167,0
53,5751.91281117,13,1399693,5.84,46,Linux,0.8125,0,0,0,0,1,1,59.980992,0.182636,238.975721,276.709846,2655.0,43.1543365679,1
54,5751.91281117,13,1399693,5.84,46,Linux,0.714285714286,0,0,0,0,1,1,59.880349,0.182841,178.740233,199.368463,9181.0,148.966445296,0
55,5751.91281117,13,1399693,5.84,46,Linux,0.714285714286,0,0,0,0,1,1,59.880349,0.182718,178.740203,199.437198,9648.0,156.543734998,0
56,5751.91281117,13,1399693,5.84,46,Linux,0.714285714286,0,0,0,0,1,1,59.880850,0.182719,178.743359,199.358039,9826.0,159.43188122,0
57,5751.91281117,13,1399693,5.84,46,Linux,0.789473684211,0,0,0,0,1,1,59.870926,0.182515,198.484153,224.292473,9179.0,149.076633559,0
58,5751.91281117,13,1399693,5.84,46,Linux,0.789473684211,0,0,0,0,1,1,59.880348,0.182638,198.550238,224.307097,9671.0,157.066941261,0
59,5751.91281117,13,1399693,5.84,46,Linux,0.789473684211,0,0,0,0,1,1,59.871222,0.183012,198.488757,224.293350,9842.0,159.861798322,0
60,5751.91281117,13,1399693,5.84,46,Linux,0.789473684211,0,0,0,0,1,1,59.971622,0.182967,199.159030,225.036063,9865.0,159.994522073,0
